Source Name,Source Address,Destination Name,Destination Address,Distance (meters),Duration (seconds)
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Archer House,"2130 Neil Avenue, Columbus, OH 43210",1031,763
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",502,367
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",413,304
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",1073,802
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",968,727
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Bowen House,"2125 N. High Street, Columbus, OH 43210",1270,951
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",188,148
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Busch House,"2115 N. High Street, Columbus, OH 43210",1167,874
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",288,221
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",1045,774
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",Fechko House,"220 West 11th Avenue, Columbus, OH 43210",321,246
Mirror Lake Eatery,"Pomerene Hall, 1760 Neil Ave, Columbus, OH 43210",German House,"141 West 11th Avenue, Columbus, OH 43210",504,380
